city,region,year,weekofyear,month,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,reanalysis_precip_amt_kg_per_m2,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,population_density,hospital_capacity_index,lag1_cases,lag2_cases,lag4_cases,outbreak_zone,total_cases
Gampaha,Sri_Lanka,2014,17,5,-0.001652,0.049952,0.03603,0.044405,4.51,301.8236,301.6867,295.6517,302.74,300.64,84.4266,9.0633,2.1028,4.05,27.6834,2.4249,30.71,28.29,4.78,0.724,0.591,8,6,8,0,9
Muzaffarabad,AJK_PK,1996,13,4,0.6,0.579652,0.490496,0.400042,155.16,300.3645,300.8317,296.0945,303.41,298.25,76.987,8.7225,5.1654,160.02,27.4129,4.9298,30.5,25.57,151.66,0.4,0.312,2,6,11,0,1
Iquitos,Peru,2020,52,12,0.128215,0.011311,0.18762,0.14554,23.77,300.4693,300.4367,295.3626,301.6,299.27,81.4941,9.0856,2.3339,21.19,26.2967,2.0,28.61,26.96,23.03,0.36,0.469,0,0,2,0,1
Islamabad,ICT_PK,2020,11,3,0.129024,0.054457,0.347559,0.05172,6.96,294.1093,294.1593,287.2753,297.97,290.35,59.896,6.4594,7.6143,7.0,21.0679,7.5841,24.67,17.09,1.89,0.684,0.682,0,0,4,0,1
Gampaha,Sri_Lanka,2000,30,8,0.240348,0.092157,0.190629,0.221665,37.01,297.5108,297.3791,292.1937,299.2,295.56,78.2457,8.531,3.6366,34.6,24.1105,3.4115,25.9,22.49,30.22,0.718,0.598,63,65,64,1,64
Galle,Sri_Lanka,1990,30,8,-0.046881,-0.026266,0.04771,0.046959,15.75,298.521,298.7674,297.0571,300.78,296.75,77.1962,8.5795,4.0284,17.38,26.1034,4.3135,28.19,23.87,11.9,0.74,0.598,9,6,4,0,7
Muzaffarabad,AJK_PK,1990,47,12,0.012311,0.132532,0.085772,0.061273,0.65,293.9855,294.3324,291.5685,296.47,292.2,57.2287,6.2859,4.2694,0.62,20.4811,3.9213,22.47,18.54,0.0,0.431,0.378,0,1,0,0,0
Islamabad,ICT_PK,2019,36,9,0.418468,0.137217,0.184065,0.176608,52.73,295.3348,295.1249,293.3618,297.49,292.76,86.9021,9.6021,4.7394,59.11,22.582,5.5722,24.96,19.39,48.82,0.633,0.627,18,20,25,0,18
Iquitos,Peru,2008,47,12,0.140977,0.270393,0.145912,0.04557,10.26,298.8806,299.2536,297.3957,302.5,296.0,75.9495,8.5484,6.502,9.12,25.2637,6.6114,28.85,22.24,11.77,0.312,0.431,1,3,0,0,0
Iquitos,Peru,2013,48,12,0.053834,0.126761,0.183394,0.081876,27.93,298.2441,298.2061,293.8195,299.34,297.07,82.5573,9.2765,2.2699,29.58,24.9898,2.0,25.14,24.88,32.7,0.351,0.43,10,13,19,0,10
Islamabad,ICT_PK,1990,14,4,0.14974,0.149546,0.181652,0.167201,40.33,300.2994,299.7622,297.9607,304.04,295.49,63.797,7.1949,8.5468,40.35,25.7226,8.7489,30.7,21.95,38.03,0.667,0.65,0,3,3,0,2
Jaffna,Sri_Lanka,2022,9,3,-0.00471,0.116338,0.157612,0.145323,23.33,300.4243,300.5682,296.4813,303.69,297.45,76.1453,8.9154,6.2353,22.9,27.8416,8.1347,31.24,23.11,27.06,0.802,0.614,4,1,4,0,2
Lahore,Punjab_PK,2011,36,9,0.135125,0.039779,-0.038583,0.111176,7.23,296.8475,297.4348,295.5481,300.38,294.49,68.2952,7.4034,5.8867,7.38,23.9698,7.3601,28.1,20.74,7.01,0.909,0.574,17,16,13,0,16
Islamabad,ICT_PK,2010,47,12,0.221065,0.107811,0.163508,0.191846,27.84,302.5931,302.6349,300.3377,307.42,297.85,59.8707,6.2268,9.5792,29.93,28.9819,8.6269,33.24,24.61,35.94,0.684,0.658,0,4,9,0,1
Ampara,Sri_Lanka,1999,16,4,0.044402,0.079236,0.10354,0.078939,17.4,300.1222,299.8124,293.8855,302.69,296.94,74.953,8.7806,5.747,17.79,26.8634,5.5396,29.23,23.69,13.02,0.742,0.591,21,20,23,0,23
Galle,Sri_Lanka,1991,51,12,0.181366,0.159633,0.122299,0.162501,46.07,299.7655,299.7452,296.4166,301.12,298.37,79.3191,8.5213,2.7449,46.62,26.7051,4.2529,29.18,24.92,47.29,0.731,0.598,5,4,4,0,3
Galle,Sri_Lanka,1993,35,9,0.194633,0.131786,-0.00744,0.247323,63.08,300.1593,299.7537,294.4522,301.99,297.51,76.6717,9.1302,4.4811,67.15,27.1464,4.2137,28.19,23.97,60.86,0.717,0.599,3,3,3,0,6
Jaffna,Sri_Lanka,2006,45,12,-0.009901,0.086579,0.014745,0.083316,5.01,299.8041,299.6987,294.0549,302.54,296.86,67.5087,7.5138,5.6871,5.1,26.8085,6.186,29.5,23.32,5.98,0.718,0.626,3,7,7,0,0
Colombo,Sri_Lanka,2017,36,9,0.132455,0.168899,0.294622,0.047481,33.89,300.4337,300.3487,297.4258,302.02,298.67,79.2055,8.6144,3.3489,33.11,27.3234,4.3608,29.55,25.19,33.06,0.804,0.597,0,0,0,0,2
San_Juan,Puerto_Rico,2013,13,4,0.141295,0.086586,0.335432,0.313437,73.44,297.1243,296.9925,291.6853,298.69,295.29,80.7252,8.5858,3.3952,82.0,23.7441,3.0217,25.94,22.92,77.65,0.798,0.786,8,11,15,0,8
Kandy,Sri_Lanka,1994,51,12,0.348809,0.326088,0.353723,0.31192,44.44,298.2692,298.5111,292.3012,301.26,295.77,78.6994,8.3365,5.4894,51.01,26.0039,5.5398,28.13,22.59,56.18,0.795,0.619,2,0,0,0,1
Lahore,Punjab_PK,2022,43,11,-0.034484,-0.000295,0.129785,0.17791,2.77,298.161,297.7925,295.8686,301.73,293.86,51.4673,5.1953,7.8705,2.63,25.0943,8.1869,27.91,19.73,0.0,0.922,0.533,1,0,0,0,0
Quetta,Balochistan_PK,1994,38,10,0.046361,0.063873,0.018289,0.069533,0.13,296.1018,296.5511,288.3997,301.91,291.19,47.254,5.4349,10.7133,0.12,23.4782,9.9954,27.49,17.5,5.33,0.209,0.253,2,5,2,0,0
Peshawar,KPK_PK,2006,1,1,-0.001831,0.113456,0.061909,0.149534,1.89,298.4031,298.4131,296.15,303.5,293.33,59.7522,6.7684,10.1755,1.93,25.2031,9.8125,30.34,20.53,3.18,0.677,0.413,1,0,1,0,0
Peshawar,KPK_PK,1990,11,3,0.061772,-0.030888,0.039836,0.015371,4.45,299.691,299.8144,292.9086,304.68,294.95,48.6179,5.2198,9.7232,4.67,25.7678,8.6975,31.08,22.39,3.64,0.666,0.397,3,6,4,0,0
Quetta,Balochistan_PK,2003,1,1,0.073701,-0.003941,0.037543,0.013509,0.05,291.1108,291.2152,284.6928,295.29,287.14,30.0,5.0,8.1479,0.05,18.2869,7.4601,22.0,14.49,3.87,0.193,0.273,3,7,3,0,0
Gampaha,Sri_Lanka,2014,20,5,0.358199,0.353419,0.503932,0.440049,105.96,298.765,298.7837,295.5879,300.34,297.22,79.7626,9.0286,3.12,119.38,25.2753,3.4015,28.01,24.61,111.94,0.778,0.603,11,13,16,0,11
Quetta,Balochistan_PK,2013,22,6,0.073465,0.036557,0.031671,0.088044,18.6,298.2648,297.7288,295.2718,298.69,296.77,50.7208,5.9187,1.926,21.26,24.7768,2.0,25.33,23.59,25.59,0.203,0.241,0,0,2,0,1
Galle,Sri_Lanka,2021,5,2,0.187183,0.219848,0.060997,0.08213,28.21,300.6925,301.1414,299.7991,302.5,299.78,83.2942,9.0572,2.7169,28.8,28.1903,2.8257,29.61,26.79,30.62,0.724,0.613,6,4,9,0,4
Iquitos,Peru,2013,51,12,0.256803,0.288492,0.290776,0.219116,68.92,299.5609,299.3979,297.4203,301.03,297.76,93.169,10.2539,3.2701,74.8,26.0637,3.5953,27.17,23.58,78.74,0.307,0.453,0,4,7,0,1
Colombo,Sri_Lanka,2012,29,8,0.491721,0.44719,0.394135,0.297025,121.71,300.0479,299.8459,295.0813,300.54,299.15,96.36,10.2251,1.393,109.16,26.5742,2.1325,27.87,25.73,119.82,0.809,0.551,20,16,16,0,20
San_Juan,Puerto_Rico,2005,12,3,0.000733,0.055462,0.135515,0.151494,8.41,297.912,297.3715,293.8702,299.87,294.87,87.4753,9.2318,4.9952,7.93,23.5342,4.7424,26.22,21.47,7.51,0.816,0.804,8,9,15,0,8
Quetta,Balochistan_PK,1995,49,12,0.015472,0.05066,0.01447,0.023514,2.65,296.9979,296.883,293.1089,304.23,289.53,30.0,5.0,14.7023,2.27,23.7717,16.206,32.09,15.88,3.56,0.198,0.248,2,6,9,0,0
Islamabad,ICT_PK,2013,29,8,0.313646,0.065802,0.068069,0.151285,17.69,296.7981,296.7428,293.0829,301.59,291.9,72.0129,7.6068,9.6929,17.03,23.5384,8.3175,28.06,19.74,5.83,0.682,0.656,3,5,4,0,2
Islamabad,ICT_PK,2007,2,1,0.09734,0.256814,0.1172,0.350843,31.94,295.1737,295.3072,291.2159,301.37,289.25,65.2447,6.8851,12.1208,31.79,22.3013,11.4988,28.2,16.7,35.0,0.685,0.636,1,0,0,0,2
San_Juan,Puerto_Rico,1993,6,2,-0.0221,0.187714,0.136082,0.097514,38.74,298.6139,298.772,292.9124,301.09,296.45,84.9057,8.5859,4.6444,40.4,24.8533,3.7345,27.32,23.58,30.25,0.816,0.79,3,3,3,0,5
Iquitos,Peru,2017,23,6,0.224494,0.382282,0.395169,0.408516,108.28,299.4391,299.3259,296.0838,301.65,297.01,82.1774,9.0191,4.6396,105.87,26.9852,5.3254,29.5,24.18,117.75,0.314,0.442,39,41,35,0,38
Islamabad,ICT_PK,2016,2,1,0.042365,0.045627,-0.03724,0.00388,5.45,296.9853,296.8852,290.8601,301.57,292.2,52.3958,5.9343,9.3703,6.26,23.5489,9.9637,28.49,18.53,7.14,0.706,0.636,2,3,5,0,2
Gampaha,Sri_Lanka,1993,22,6,0.193191,0.093312,0.053342,0.150507,12.47,298.5902,298.3902,294.3568,300.65,296.13,93.783,10.2497,4.5163,13.5,25.3458,4.8105,27.51,22.7,11.8,0.725,0.574,99,103,103,1,100
Karachi,Sindh_PK,2023,48,12,0.078739,0.0132,0.097698,0.065894,3.94,300.447,300.7203,295.3682,304.17,297.27,74.2007,8.0319,6.9022,4.53,27.223,6.7355,31.02,24.29,9.16,0.929,0.473,0,4,1,0,0
Gampaha,Sri_Lanka,2005,50,12,0.189879,0.290452,0.258453,0.241158,69.38,296.474,296.5119,289.9443,299.95,293.07,85.2556,9.4423,6.8754,71.94,22.818,7.5766,27.05,19.47,72.65,0.74,0.597,2,1,4,0,1
Kandy,Sri_Lanka,2022,31,8,0.209471,0.204818,0.183058,0.072907,11.19,297.7422,297.9512,293.3424,301.8,294.11,74.1075,8.2252,7.689,9.76,24.9765,7.8372,29.0,21.16,16.62,0.761,0.627,33,33,37,1,36
Gampaha,Sri_Lanka,2004,18,5,0.026025,-0.052814,0.104973,0.071842,5.12,300.1953,300.0793,293.166,302.15,298.01,81.8601,9.3882,4.1389,5.76,26.4368,4.6283,29.61,24.98,15.73,0.754,0.62,8,7,2,0,11
Colombo,Sri_Lanka,2007,23,6,0.134387,0.240781,0.123742,0.19413,32.89,300.7703,300.6414,298.5584,304.0,297.29,79.5186,8.7377,6.7103,33.18,27.7882,6.4929,30.79,24.3,30.32,0.756,0.611,137,140,135,1,135
Ampara,Sri_Lanka,1999,31,8,0.007592,0.109914,0.124165,0.128122,18.9,302.4959,302.779,299.5453,305.32,300.24,72.0747,7.9029,5.0765,17.51,30.318,5.1328,32.6,27.47,14.31,0.816,0.558,5,5,0,0,5
Lahore,Punjab_PK,2008,45,12,0.482462,0.240553,0.263992,0.303011,78.74,306.8629,306.8328,302.0,310.91,302.76,75.8077,8.3679,8.1453,85.58,34.0165,8.3326,37.97,29.64,68.83,0.896,0.538,11,9,8,0,8
Galle,Sri_Lanka,2022,40,10,0.6,0.6,0.6,0.579583,228.01,297.2544,297.2834,291.9838,299.22,295.35,81.842,8.8915,3.8658,258.04,24.1413,4.0795,25.67,21.59,229.01,0.762,0.585,7,5,0,0,6
Lahore,Punjab_PK,2007,21,6,0.185985,0.225887,0.189144,0.144739,36.45,298.3471,298.1527,292.9557,300.64,295.66,70.4797,7.5439,4.9813,31.48,25.3812,5.7465,27.75,22.0,39.57,0.896,0.561,6,5,9,0,6
Islamabad,ICT_PK,2003,16,4,0.359033,0.359514,0.259015,0.243143,93.36,298.7571,298.82,294.2181,300.75,296.89,66.2175,7.2519,3.8561,99.39,25.5439,3.964,27.37,23.41,90.01,0.772,0.661,4,4,0,0,6
Muzaffarabad,AJK_PK,2024,46,12,0.148702,0.152973,0.16542,0.034983,2.72,297.5834,297.5178,292.5597,302.22,292.82,72.4344,7.688,9.3995,2.95,25.0145,10.7623,29.44,18.67,0.0,0.398,0.333,0,0,6,0,0
Jaffna,Sri_Lanka,2021,3,1,0.256566,0.079756,0.158376,0.084697,16.11,298.2128,297.9638,293.0637,301.12,294.81,84.3757,9.2138,6.3134,17.5,24.6143,7.3762,28.61,21.23,24.33,0.722,0.596,1,5,1,0,0
Peshawar,KPK_PK,2016,15,4,0.282449,0.352233,0.244583,0.291465,83.64,298.6043,298.9137,293.1522,303.12,294.71,62.0776,6.9746,8.4172,83.54,26.0028,8.3549,28.99,20.63,90.26,0.642,0.382,3,1,0,0,0
Peshawar,KPK_PK,1994,19,5,0.250061,0.301045,0.26321,0.32935,55.94,302.3976,302.2975,297.7141,307.84,296.76,35.3115,5.0,11.0825,61.37,29.2218,10.1466,34.6,24.45,62.24,0.675,0.396,4,1,0,0,5
Jaffna,Sri_Lanka,2013,4,1,0.122712,-0.010618,0.021578,0.038615,3.23,299.1333,299.4364,295.3851,303.41,295.46,56.4352,6.3241,7.9491,3.58,27.308,6.6183,29.85,23.24,4.84,0.785,0.623,0,4,10,0,0
Ampara,Sri_Lanka,2017,15,4,-0.028342,0.130004,0.087147,0.178556,0.1,299.6604,299.7431,297.2447,301.16,298.33,71.3548,7.9369,2.8325,0.1,26.7295,2.0,27.34,25.66,0.0,0.769,0.592,4,6,0,0,3
Iquitos,Peru,1994,51,12,0.174386,0.010892,-0.048905,-0.018307,0.56,298.0245,298.3314,291.7379,302.2,294.46,83.9572,9.4866,7.7419,0.6,25.9407,7.8318,29.05,21.21,0.0,0.402,0.461,2,1,5,0,5
Muzaffarabad,AJK_PK,2015,40,10,0.205091,0.257646,-0.004582,0.219515,5.93,302.4194,302.1962,296.1607,306.25,298.14,54.0434,6.0037,8.1137,5.79,29.7137,9.285,33.86,24.57,0.54,0.394,0.371,0,0,2,0,1
Ampara,Sri_Lanka,2021,32,8,0.094904,0.074926,0.027651,-0.016444,4.69,302.4154,302.8782,298.0687,305.8,299.96,67.5021,7.5405,5.8415,4.71,29.5524,6.7444,33.34,26.59,5.13,0.761,0.599,2,6,3,0,4
Karachi,Sindh_PK,1990,10,3,0.058784,0.062706,-0.007406,0.061973,6.55,299.9744,300.3392,293.8848,305.45,295.23,55.6185,6.074,10.2183,7.18,27.0369,10.7624,32.89,22.13,5.88,0.861,0.515,2,6,11,0,1
San_Juan,Puerto_Rico,2017,49,12,0.288812,0.101288,0.265995,0.178964,63.12,299.3826,299.3612,294.6959,301.15,297.58,75.1202,8.4618,3.5685,68.7,25.9402,3.9876,28.56,24.58,66.2,0.821,0.775,0,0,0,0,0
Karachi,Sindh_PK,1998,36,9,0.087623,0.03873,0.026065,-0.009187,0.04,302.3616,302.4593,299.1655,307.43,297.48,72.3506,7.8284,9.9499,0.04,29.2461,9.6883,34.66,24.98,0.42,0.854,0.512,3,6,11,0,4
Lahore,Punjab_PK,2001,27,7,0.2007,0.154011,0.224495,0.056852,19.77,295.4036,295.0178,288.9508,298.34,291.7,56.8457,6.1537,6.6413,19.99,21.9891,5.7373,25.05,19.32,11.53,0.864,0.566,2,0,1,0,3
San_Juan,Puerto_Rico,1994,1,1,0.381689,0.310718,0.306319,0.384755,89.15,299.5964,299.4662,293.9335,302.38,296.55,83.8842,9.6308,5.8252,92.92,26.4049,6.9536,29.65,22.7,91.11,0.779,0.799,25,21,23,0,22
Colombo,Sri_Lanka,2019,29,8,0.036293,0.081362,0.095839,-0.015885,24.24,299.7024,299.8661,294.9228,300.82,298.92,72.9792,7.8362,1.8999,20.73,26.2893,2.4535,27.94,25.49,26.41,0.726,0.608,7,9,3,0,8
Jaffna,Sri_Lanka,1991,25,7,0.150551,0.082476,-0.1,0.166182,9.25,301.6888,301.503,296.7743,303.55,299.46,90.8356,10.2785,4.0945,9.53,28.0432,3.7622,30.18,26.42,7.57,0.716,0.594,4,6,3,0,4
Jaffna,Sri_Lanka,2016,26,7,0.035425,0.029,0.10681,-0.023872,0.57,302.3448,302.225,299.1279,303.8,300.65,81.1703,8.6343,3.157,0.56,28.6532,2.8686,30.9,28.03,4.85,0.766,0.572,23,22,21,1,25
San_Juan,Puerto_Rico,2004,23,6,0.060691,0.115349,0.343461,0.069437,39.74,300.5444,300.186,294.4587,301.61,298.77,76.1742,8.5258,2.8402,43.87,27.0002,3.0886,28.15,25.06,32.1,0.822,0.812,169,169,166,1,170
Colombo,Sri_Lanka,2000,6,2,0.196095,0.174871,0.039691,0.102499,54.25,298.6126,298.8941,295.0598,300.46,297.33,94.5681,10.0688,3.1348,61.95,26.1124,3.5338,27.75,24.22,53.6,0.765,0.593,8,6,6,0,9
Peshawar,KPK_PK,2017,8,2,0.207862,0.171743,0.111439,0.14593,29.34,298.0194,297.5978,292.6163,300.79,294.41,32.565,5.0,6.3783,26.11,24.5814,5.9785,27.07,21.1,36.78,0.631,0.41,4,2,8,0,1
Ampara,Sri_Lanka,2024,13,4,0.264544,0.228088,0.29548,0.264889,73.69,300.3132,300.0724,296.0078,302.47,297.67,73.668,8.0217,4.8035,69.36,27.418,5.979,29.78,23.8,73.6,0.741,0.574,2,2,5,0,2
Gampaha,Sri_Lanka,2004,45,12,0.131615,0.104429,0.166249,0.160093,41.12,299.5855,299.7864,295.8999,301.76,297.82,87.6242,9.3111,3.9378,41.36,26.7371,4.6761,29.4,24.73,52.85,0.736,0.597,39,36,31,0,37
Gampaha,Sri_Lanka,2015,32,8,0.194254,0.107968,0.011122,0.101098,50.26,298.6578,298.0274,291.2039,298.49,297.57,80.2597,8.724,1.0,54.31,25.0518,2.0,23.78,24.58,57.5,0.688,0.603,15,14,17,0,15
Peshawar,KPK_PK,2020,1,1,0.084439,0.123877,0.048688,0.127401,7.09,296.3655,296.7632,291.8898,298.6,294.93,65.1433,6.7529,3.6756,6.89,23.1522,4.5231,25.61,21.08,7.38,0.593,0.405,0,4,0,0,0
Islamabad,ICT_PK,1998,38,10,0.17547,0.291869,0.369981,0.382359,54.71,303.3414,303.3709,299.6099,308.74,298.0,58.8274,6.2252,10.7424,46.71,30.7511,10.7843,35.8,25.01,56.8,0.696,0.638,5,6,7,0,3
Lahore,Punjab_PK,2005,35,9,0.301169,0.213395,0.29391,0.133302,68.6,299.6136,299.5049,296.7419,301.14,297.87,70.7946,7.5518,3.2701,71.77,26.4217,2.6564,27.78,25.12,71.01,0.881,0.546,9,8,12,0,6
Kandy,Sri_Lanka,2011,26,7,0.0363,0.236297,0.120717,0.149562,7.43,298.0668,297.7288,293.2991,300.37,295.09,82.4656,8.7244,5.2787,7.09,24.5886,4.7676,27.14,22.38,13.9,0.788,0.575,6,6,2,0,6
Jaffna,Sri_Lanka,2004,21,6,0.069896,0.269315,0.200484,0.22495,36.35,303.1261,303.1058,295.4781,304.57,301.64,78.1,9.0722,2.9334,39.23,30.4297,3.446,31.44,27.99,39.74,0.717,0.562,5,3,4,0,7
Jaffna,Sri_Lanka,2011,52,12,0.107205,0.065721,0.050133,0.118645,7.99,300.061,299.7755,292.9685,302.52,297.03,66.4371,6.8364,5.4969,6.92,25.9946,5.4002,29.5,24.1,5.32,0.734,0.578,0,0,0,0,0
Quetta,Balochistan_PK,2015,28,7,0.035049,0.092041,-0.009976,0.002989,1.98,300.8437,300.5446,294.3332,305.29,295.8,49.2995,6.2126,9.4882,1.84,26.8769,10.2257,33.03,22.81,0.0,0.233,0.252,3,0,2,0,0
Kandy,Sri_Lanka,2021,41,11,0.181758,0.092082,0.215496,0.145118,13.04,295.8852,296.0739,286.0188,297.01,295.14,77.5019,8.4476,1.8684,12.34,24.6293,2.0,23.7,21.88,11.33,0.718,0.576,3,0,0,0,1
Lahore,Punjab_PK,2022,13,4,0.392498,0.385247,0.391985,0.336713,100.71,296.2218,295.9328,292.2694,300.25,291.62,69.9411,7.5506,8.6296,105.4,22.9644,8.7325,27.1,18.36,98.03,0.91,0.566,3,6,12,0,2
San_Juan,Puerto_Rico,2000,32,8,0.224183,0.305746,0.218727,0.251926,58.95,298.7319,298.623,295.1014,300.99,296.25,75.1967,8.7172,4.7376,64.84,26.3306,3.952,26.4,22.45,56.28,0.892,0.782,10,7,1,0,7
Islamabad,ICT_PK,1992,26,7,0.222285,0.074782,0.234875,0.136712,42.76,298.6643,298.8737,294.3335,302.55,295.19,57.4345,5.9682,7.359,38.53,26.0363,6.7992,28.88,22.08,36.23,0.714,0.616,7,5,1,0,7
Quetta,Balochistan_PK,2018,31,8,0.1107,0.118844,0.04695,0.089637,22.42,288.9294,288.9154,283.6545,292.0,286.06,49.5159,5.4646,5.7014,24.73,16.0665,5.3837,22.0,13.6,24.79,0.199,0.249,3,4,6,0,0
Peshawar,KPK_PK,2009,31,8,0.062768,0.063443,0.091518,0.044591,2.79,301.1076,301.1278,295.8131,307.32,294.93,75.7561,8.2747,12.3919,2.99,28.7757,11.4987,34.02,22.52,0.0,0.655,0.38,17,17,13,0,14
Iquitos,Peru,2008,42,11,0.103053,0.053423,0.054609,-0.069305,13.51,297.2625,296.7077,295.6793,299.57,293.84,84.7645,9.2714,5.7258,12.71,23.9031,5.8334,26.98,21.14,3.48,0.32,0.467,0,0,0,0,1
Lahore,Punjab_PK,1999,28,7,0.385998,0.332357,0.338715,0.364668,106.74,300.9845,301.0001,298.4431,305.62,296.38,69.1864,7.3899,9.238,102.22,28.1826,10.5293,33.29,22.76,118.42,0.918,0.572,15,12,9,0,15
Gampaha,Sri_Lanka,2023,46,12,0.111513,0.206905,0.447364,0.249824,43.79,300.063,299.9645,295.7752,302.95,296.98,82.8493,9.1411,5.9758,38.02,26.4555,5.1205,29.55,24.43,41.03,0.779,0.598,30,28,33,0,27
San_Juan,Puerto_Rico,1999,42,11,0.097383,0.17554,0.360016,0.068897,47.43,302.5352,302.2955,297.8939,304.42,300.17,82.6566,9.6708,4.2476,53.3,29.2795,3.347,29.99,26.64,53.67,0.848,0.832,34,32,29,0,31
Kandy,Sri_Lanka,1998,50,12,0.203948,0.107453,0.080655,0.250073,14.15,298.6182,298.8607,296.1442,300.02,297.7,76.9806,8.3127,2.3137,13.95,26.3116,2.1654,26.76,24.59,15.97,0.806,0.584,2,0,0,0,1
San_Juan,Puerto_Rico,1999,46,12,-0.026481,0.242575,0.10602,0.229152,26.4,298.608,298.6606,295.6635,301.53,295.79,86.7705,9.424,5.7442,29.17,25.2231,6.2614,28.66,22.39,24.16,0.856,0.796,7,9,8,0,5
Ampara,Sri_Lanka,1993,14,4,0.089782,0.159449,0.191611,0.168942,13.93,301.143,301.1154,296.2031,304.14,298.09,79.2142,8.2079,6.0412,14.51,27.5126,6.4981,31.89,25.39,16.15,0.774,0.555,8,8,7,0,7
Jaffna,Sri_Lanka,2015,52,12,0.008448,0.074064,0.230588,0.068642,17.23,301.9958,301.9875,295.4703,305.58,298.39,75.12,8.117,7.186,16.67,28.5295,7.0379,32.03,24.99,13.03,0.752,0.609,0,1,0,0,0
Islamabad,ICT_PK,1994,23,6,0.387385,0.411837,0.392171,0.30677,84.03,297.1296,297.3506,293.4517,300.79,293.92,56.1928,6.059,6.8698,75.06,23.7077,7.8937,27.86,19.96,80.96,0.652,0.655,5,9,12,0,4
Muzaffarabad,AJK_PK,2024,1,1,0.091279,0.165675,0.151446,0.104267,15.18,301.3358,301.0756,298.021,303.42,298.73,71.011,7.8611,4.6923,15.48,28.1292,4.7301,29.71,24.98,5.02,0.423,0.391,0,0,0,0,0
Galle,Sri_Lanka,1990,33,9,0.6,0.6,0.6,0.6,231.2,300.716,300.4602,296.5158,302.45,298.47,86.4601,9.1126,3.9766,260.59,27.0341,3.5168,29.72,26.21,226.02,0.769,0.614,92,92,98,1,89
Iquitos,Peru,2012,5,2,0.331454,0.384875,0.144842,0.042709,83.13,299.7346,300.0342,297.3604,302.35,297.72,82.1965,9.4233,4.6324,81.21,26.8197,3.9815,29.62,25.64,80.94,0.36,0.457,4,7,9,0,2
Peshawar,KPK_PK,1991,17,5,0.107944,0.094248,0.061041,0.082275,5.52,294.5303,294.4068,288.6406,298.04,290.78,50.8307,5.7448,7.2589,5.33,21.1881,8.1881,25.6,17.41,2.87,0.642,0.397,4,0,0,0,1
Galle,Sri_Lanka,2010,19,5,0.074424,0.195984,0.271935,0.126207,55.11,301.1287,301.2622,298.0821,302.86,299.67,82.4836,8.6252,3.1911,50.44,28.5203,2.3463,29.7,27.36,55.33,0.721,0.599,19,23,28,0,19
Peshawar,KPK_PK,1993,22,6,0.341703,0.355927,0.298191,0.274915,73.74,292.1909,291.5988,289.4559,296.55,286.65,39.6018,5.0,9.9031,63.26,18.5898,9.3342,23.22,13.89,74.07,0.686,0.397,0,0,6,0,2
Gampaha,Sri_Lanka,1998,40,10,0.06045,0.153834,0.092913,0.083983,5.43,297.8732,297.9937,295.8133,300.88,295.11,87.2108,9.2175,5.7766,5.82,24.9853,6.8773,28.8,21.92,7.46,0.772,0.609,0,2,2,0,0
Iquitos,Peru,2018,6,2,-0.034547,0.061327,0.041399,0.010351,9.59,298.2427,298.5409,294.304,300.87,296.21,84.2969,9.3567,4.6577,10.96,25.0653,4.6466,27.77,23.13,9.69,0.355,0.458,0,2,1,0,1
Lahore,Punjab_PK,1998,14,4,0.190554,0.269535,0.207829,0.163784,48.47,293.4397,293.7989,289.7185,297.89,289.71,65.0219,6.4055,8.1724,55.13,20.4858,7.8656,24.92,17.06,42.17,0.904,0.555,9,7,2,0,6
Peshawar,KPK_PK,2012,34,9,0.305621,0.388637,0.321504,0.101136,71.77,305.7118,305.9909,299.952,310.23,301.76,58.6972,6.3146,8.4712,71.58,32.5261,7.962,36.67,28.71,74.28,0.672,0.409,1,0,0,0,3
Karachi,Sindh_PK,1995,16,4,-0.074528,0.008718,0.04254,0.070313,6.0,301.0255,300.7474,296.9379,305.1,296.4,80.8272,8.9292,8.7047,5.71,27.9532,9.503,31.93,22.43,6.92,0.866,0.532,3,3,7,0,4
Colombo,Sri_Lanka,2014,34,9,0.262857,0.332464,0.3232,0.264018,83.98,301.6919,301.8614,295.8484,304.24,299.48,88.3804,9.2882,4.7605,79.37,28.7893,5.2727,32.16,26.89,81.32,0.716,0.59,10,10,15,0,13
Karachi,Sindh_PK,2011,46,12,0.307151,0.340446,0.408948,0.28305,100.36,299.8332,299.8304,294.3193,305.65,294.01,72.1732,7.7526,11.6366,100.36,26.048,12.053,32.7,20.65,90.89,0.789,0.505,5,7,2,0,2
Jaffna,Sri_Lanka,1991,46,12,0.102104,0.155952,0.090643,0.092622,0.77,304.3901,304.0254,299.5381,305.83,302.22,68.9789,7.8467,3.6037,0.75,30.8019,3.5757,32.58,29.0,5.62,0.778,0.6,2,0,0,0,0
